date,exit,S,K,S_T,iv,prem,pnl,cap
2025-05-22,2025-05-29,24609.7,23379.21,24833.6,0.173,2.82,119.47,992744.28
2025-05-29,2025-06-05,24833.6,23591.92,24750.9,0.164,1.95,82.13,992826.41
2025-06-05,2025-06-12,24750.9,23513.36,24888.2,0.151,0.96,40.54,992866.95
2025-06-12,2025-06-19,24888.2,23643.79,24793.25,0.14,0.49,20.53,992887.48
2025-06-19,2025-06-26,24793.25,23553.59,25549.0,0.143,0.57,24.22,992911.7
2025-06-26,2025-07-03,25549.0,24271.55,25405.3,0.126,0.16,6.47,992918.16
2025-07-03,2025-07-10,25405.3,24135.04,25355.25,0.124,0.13,5.35,992923.51
2025-07-10,2025-07-17,25355.25,24087.49,25111.45,0.117,0.06,2.52,992926.03
2025-07-17,2025-07-24,25111.45,23855.88,25062.1,0.112,0.04,1.51,992927.54
2025-07-24,2025-07-31,25062.1,23808.99,24768.35,0.107,0.02,0.76,992928.3
2025-07-31,2025-08-07,24768.35,23529.93,24596.15,0.115,0.05,2.17,992930.47
2025-08-07,2025-08-14,24596.15,23366.34,24631.3,0.117,0.06,2.58,992933.04
2025-08-14,2025-08-21,24631.3,23399.74,25083.75,0.124,0.12,5.2,992938.24
2025-08-21,2025-08-28,25083.75,23829.56,24500.9,0.114,0.04,1.77,992940.01
2025-08-28,2025-09-04,24500.9,23275.86,24734.3,0.122,0.1,4.35,992944.36
2025-09-04,2025-09-11,24734.3,23497.59,25005.5,0.109,0.02,0.91,992945.26
2025-09-11,2025-09-18,25005.5,23755.22,25423.6,0.104,0.01,0.44,992945.71
2025-09-18,2025-09-25,25423.6,24152.42,24890.85,0.099,0.0,0.2,992945.91
2025-09-25,2025-10-03,24890.85,23646.31,24894.25,0.108,0.05,2.04,992947.95
2025-10-09,2025-10-16,25181.8,23922.71,25585.3,0.101,0.01,0.3,992948.25
2025-10-16,2025-10-23,25585.3,24306.04,25891.4,0.109,0.02,0.93,992949.18
2025-10-23,2025-10-30,25891.4,24596.83,25877.85,0.117,0.07,2.69,992951.88
2025-10-30,2025-11-06,25877.85,24583.96,25509.7,0.121,0.1,3.88,992955.76
2025-11-06,2025-11-13,25509.7,24234.21,25879.15,0.124,0.13,5.45,992961.21
2025-11-13,2025-11-20,25879.15,24585.19,26192.15,0.122,0.11,4.26,992965.47
2025-11-20,2025-11-27,26192.15,24882.54,26215.55,0.121,0.1,4.17,992969.65
2025-11-27,2025-12-04,26215.55,24904.77,26033.75,0.118,0.07,2.88,992972.53
2025-12-04,2025-12-11,26033.75,24732.06,25898.55,0.108,0.02,0.87,992973.4
2025-12-11,2025-12-18,25898.55,24603.62,25815.55,0.104,0.01,0.47,992973.87
2025-12-18,2025-12-26,25815.55,24524.77,26042.3,0.097,0.01,0.43,992974.3
2026-01-08,2026-01-16,25876.85,24583.01,25694.35,0.106,0.04,1.62,992975.92
2026-01-22,2026-01-29,25289.9,24025.41,25418.9,0.134,0.3,12.43,992988.35
2026-01-29,2026-02-05,25418.9,24147.96,25642.8,0.134,0.31,12.63,993000.98
2026-02-05,2026-02-12,25642.8,24360.66,25807.2,0.122,0.11,4.3,993005.28
2026-02-12,2026-02-19,25807.2,24516.84,25454.35,0.117,0.07,2.69,993007.98
2026-02-19,2026-02-26,25454.35,24181.63,25496.55,0.135,0.33,13.56,993021.54
2026-02-26,2026-03-05,25496.55,24221.72,24765.9,0.131,0.24,9.8,993031.34
2026-03-05,2026-03-12,24765.9,23527.61,23639.15,0.179,3.61,152.22,993183.56
2026-03-12,2026-03-19,23639.15,22457.19,23002.15,0.215,10.75,475.03,993658.59
2026-03-19,2026-03-27,23002.15,21852.04,22819.6,0.228,19.22,873.53,994532.12
2026-04-02,2026-04-09,22713.1,21577.44,23775.1,0.255,23.62,1088.1,995620.22
2026-04-09,2026-04-16,23775.1,22586.34,24196.75,0.204,8.09,356.51,995976.73
2026-04-16,2026-04-23,24196.75,22986.91,24173.05,0.181,3.85,166.65,996143.38
2026-04-23,2026-04-30,24173.05,22964.4,23997.55,0.186,4.61,199.88,996343.26
2026-04-30,2026-05-07,23997.55,22797.67,24326.65,0.185,4.37,190.91,996534.17
2026-05-07,2026-05-14,24326.65,23110.32,23689.6,0.166,2.1,90.52,996624.68
